I'm looking for the telephone.	我 再 找 电话｡	wǒ zài zhǎo diàn huà	[sound:PM3-U08-048.mp3]	[sound:PM3-U08-050.mp3]	3	8	01m29s
It's next to the newspaper.	在 报 的 旁边｡	zài bào de páng biān	[sound:PM3-U08-057.mp3]	[sound:PM3-U08-058.mp3]	3	8	01m54s
I'm planning to travel to Harbin.	我 打算 去 哈尔滨 履行｡	wǒ dǎ suàn qù hā ěr bīn lǚ xíng	[sound:PM3-U08-075_PM3-U08-076.mp3]	[sound:PM3-U08-077.mp3]	3	8	03m02s
Where are you planning to stay?	您 打算 住 哪儿?	nín dǎ suàn zhù nǎ r5	[sound:PM3-U08-078.mp3]	[sound:PM3-U08-079.mp3]	3	8	03m14s
Are you going to stay at a hotel?	您 要 住在 酒店 吗?	nín yào zhù zài jiǔ diàn ma	[sound:PM3-U08-081.mp3]	[sound:PM3-U08-083.mp3]	3	8	03m25s
No, I'm planning to stay at a friends place.	不 我 打算 住在 一个 朋友 那儿｡	bù wǒ dǎ suàn zhù zài yī gè péng you nà r5	[sound:PM3-U08-092.mp3]	[sound:PM3-U08-093_PM3-U08-094.mp3]	3	8	04m03s
I have not yet made a hotel reservation.	我 还没有 订 酒店｡	wǒ hái méi yǒu dìng jiǔ diàn	[sound:PM3-U08-110.mp3]	[sound:PM3-U08-111.mp3]	3	8	05m13s
I'll make a hotel reservation right away.	我 马上 就 订 酒店｡	wǒ mǎ shàng jiù dìng jiǔ diàn	[sound:PM3-U08-116.mp3]	[sound:PM3-U08-117.mp3]	3	8	05m38s
Now you're speaking with miss May, ask her: you went to Harbin last year, isn't that right?	梅 小姐 去年 去 哈尔滨 了 是 吧?	méi xiǎo jie qù nián qù hā ěr bīn le shì ba	[sound:PM3-U08-123_PM3-U08-124_PM3-U08-125_PM3-U08-126_PM3-U08-127.mp3]	[sound:PM3-U08-132_PM3-U08-133.mp3]	3	8	06m23s
That's right, Harbin is a very beautiful place.	是的 哈尔滨 是一个 很 美 的 地方｡	shì de hā ěr bīn shì yī gè hěn měi de dì fang	[sound:PM3-U08-135_PM3-U08-136_PM3-U08-137.mp3]	[sound:PM3-U08-138_PM3-U08-139.mp3]	3	8	06m38s
Was it cold?	冷 吗?	lěng ma	[sound:PM3-U08-142.mp3]	[sound:PM3-U08-143.mp3]	3	8	06m55s
No, not very cold.	不 布 很 冷｡	bù bù hěn lěng	[sound:PM3-U08-145.mp3]	[sound:PM3-U08-146_PM3-U08-147.mp3]	3	8	07m09s
I went during the summer.	我 是 夏天 去 的｡	wǒ shì xià tiān qù de	[sound:PM3-U08-151.mp3]	[sound:PM3-U08-152.mp3]	3	8	07m26s
Did you stay at a hotel?	您 住在 酒店 吗?	nín zhù zài jiǔ diàn ma	[sound:PM3-U08-163.mp3]	[sound:PM3-U08-166.mp3]	3	8	08m13s
At a hotel in Harbin.	在 哈尔滨 的一个 酒店｡	zài hā ěr bīn de yī gè jiǔ diàn	[sound:PM3-U08-168.mp3]	[sound:PM3-U08-174.mp3]	3	8	08m33s
Was the hotel expensive?	酒店 贵 吗?	jiǔ diàn guì ma	[sound:PM3-U08-177.mp3]	[sound:PM3-U08-178.mp3]	3	8	08m53s
No, not very expensive.	不贵 不 很 贵｡	bù guì bù hěn guì	[sound:PM3-U08-182.mp3]	[sound:PM3-U08-183_PM3-U08-184.mp3]	3	8	09m11s
I like that hotel.	我 喜欢 那个 酒店｡	wǒ xǐ huan nà ge jiǔ diàn	[sound:PM3-U08-190.mp3]	[sound:PM3-U08-191.mp3]	3	8	09m39s
Next year I'm planning to stay at that hotel.	明年 我 打算 住在 那个 酒店｡	míng nián wǒ dǎ suàn zhù zài nà ge jiǔ diàn	[sound:PM3-U08-194.mp3]	[sound:PM3-U08-195.mp3]	3	8	09m57s
In that case I too will stay at that hotel.	那么 我 也 住在 那个 酒店｡	nà me wǒ yě zhù zài nà ge jiǔ diàn	[sound:PM3-U08-198_PM3-U08-199.mp3]	[sound:PM3-U08-200_PM3-U08-201.mp3]	3	8	10m21s
Where's a good place for us to go?	我们 去 哪儿 好?	wǒ men qù nǎ r5 hǎo	[sound:PM3-U08-211.mp3]	[sound:PM3-U08-213.mp3]	3	8	11m01s
How about Quan Ju De?	全聚德 怎么样?	quán jù dé zěn me yàng	[sound:PM3-U08-222_PM3-U08-223.mp3]	[sound:PM3-U08-224.mp3]	3	8	11m37s
What will we eat?	我们 吃什么?	wǒ men chī shén me	[sound:PM3-U08-226.mp3]	[sound:PM3-U08-227.mp3]	3	8	11m48s
How about Peking duck?	北京烤鸭 怎么样?	běi jīng kǎo yā zěn me yàng	[sound:PM3-U08-230.mp3]	[sound:PM3-U08-231.mp3]	3	8	12m06s
Okay, we'll eat Peking duck.	好, 我们 吃 北京烤鸭｡	hǎo, wǒ men chī běi jīng kǎo yā	[sound:PM3-U08-234_PM3-U08-235.mp3]	[sound:PM3-U08-236_PM3-U08-237.mp3]	3	8	12m25s
